time	V(n002)	V(n003)
1.526981007260153e-04	8.472588e+00	-7.497163e-03
1.528934132260153e-04	7.922223e+00	-7.888851e-03
1.530887257260153e-04	7.342408e+00	-8.250846e-03
1.534793507260153e-04	6.104844e+00	-8.880427e-03
1.538699757260153e-04	4.780932e+00	-9.376438e-03
1.542606007260153e-04	3.391894e+00	-9.731419e-03
1.546512257260154e-04	1.958970e+00	-9.940031e-03
1.550418507260154e-04	5.033334e-01	-9.999136e-03
1.552371632260154e-04	-2.264139e-01	-9.972257e-03
1.554324757260154e-04	-9.539476e-01	-9.907844e-03
1.558231007260154e-04	-2.391915e+00	-9.667529e-03
1.562137257260154e-04	-3.789727e+00	-9.281805e-03
1.566043507260154e-04	-5.126697e+00	-8.756474e-03
1.569949757260154e-04	-6.382394e+00	-8.099438e-03
1.571902882260154e-04	-6.973495e+00	-7.724544e-03
1.573856007260154e-04	-7.536832e+00	-7.320578e-03
1.575809132260154e-04	-8.070022e+00	-6.889059e-03
1.577762257260154e-04	-8.570752e+00	-6.431610e-03
1.579715382260155e-04	-9.036795e+00	-5.949955e-03
1.581668507260155e-04	-9.466020e+00	-5.445905e-03
1.583621632260155e-04	-9.856421e+00	-4.921359e-03
1.585574757260155e-04	-1.020613e+01	-4.378289e-03
1.587527882260155e-04	-1.051348e+01	-3.818740e-03
1.589481007260155e-04	-1.077702e+01	-3.244819e-03
1.591434132260155e-04	-1.099562e+01	-2.658684e-03
1.593387257260155e-04	-1.116864e+01	-2.062544e-03
1.595340382260155e-04	-1.129598e+01	-1.458640e-03
1.597293507260155e-04	-1.137815e+01	-8.492456e-04
1.599246632260155e-04	-1.141612e+01	-2.366554e-04
1.601199757260155e-04	-1.141052e+01	3.768256e-04
1.603152882260155e-04	-1.136127e+01	9.888883e-04
1.605106007260155e-04	-1.126782e+01	1.597229e-03
1.607059132260155e-04	-1.112966e+01	2.199558e-03
